,title_book,author_book,year_book,title_film,year_film
0,The 25th Hour,David Benioff,2001,25th Hour,2002
1,3 Assassins,Kōtarō Isaka,2004,Grasshopper,2015
2,4.50 from Paddington,Agatha Christie,1957,"Murder, She Said",1961
3,4.50 from Paddington,Agatha Christie,1957,Crime Is Our Business,2008
4,58 Minutes,Walter Wager,1987,Die Hard 2,1990
5,69,Ryu Murakami,1987,69,2004
6,The A.B.C. Murders,Agatha Christie,1936,The Alphabet Murders,1966
7,À ton image,Louise L. Lambrichs,1998,À ton image,2004
8,About a Boy,Nick Hornby,1998,About a Boy,2002
9,About Schmidt,Louis Begley,1996,About Schmidt,2002
10,Absolute Power,David Baldacci,1996,Absolute Power,1997
11,The Accidental Tourist,Anne Tyler,1985,The Accidental Tourist,1988
12,Across 110th, Wally Ferris,1970,Across 110th Street,1972
13,Adam Resurrected,Yoram Kaniuk,1969,Adam Resurrected,2009
14,Adams Fall, Sean Desmond,2000,Abandon,2002
15,Addie Pray,Joe David Brown,1971,Paper Moon,1973
16,Adiliya by the River, Jin Renshun,1999,Green Tea,2003
17,Adolphe,Benjamin Constant,1816,Adolphe,2002
18,Adventure,Jack London,1911,Adventure,1925
19,The Adventurers,Harold Robbins,1966,The Adventurers,1970
20,The Adventures of Captain Alatriste,Arturo Pérez-Reverte,1996–present,Alatriste,2006
21,The Adventures of Captain Hatteras,Jules Verne,1866,The Conquest of the Pole,1912
22,The Adventures of Hajji Baba of Ispahan,James Justinian Morier,1824,The Adventures of Hajji Baba,1954
23,Adventures of Huckleberry Finn,Mark Twain,1884,Huckleberry Finn,1920
24,Adventures of Huckleberry Finn,Mark Twain,1884,Huckleberry Finn,1931
25,Adventures of Huckleberry Finn,Mark Twain,1884,Huck Finn,1937
26,Adventures of Huckleberry Finn,Mark Twain,1884,The Adventures of Huckleberry Finn,1939
27,Adventures of Huckleberry Finn,Mark Twain,1884,The Adventures of Huckleberry Finn,1955
28,Adventures of Huckleberry Finn,Mark Twain,1884,The Adventures of Huckleberry Finn,1960
29,Adventures of Huckleberry Finn,Mark Twain,1884,Huckleberry Finn,1974
30,Adventures of Huckleberry Finn,Mark Twain,1884,Hopelessly Lost,1972
31,Adventures of Huckleberry Finn,Mark Twain,1884,Huckleberry Finn,1975
32,Adventures of Huckleberry Finn,Mark Twain,1884,The Adventures of Huckleberry Finn,1981
33,Adventures of Huckleberry Finn,Mark Twain,1884,Adventures of Huckleberry Finn,1985
34,Adventures of Huckleberry Finn,Mark Twain,1884,The Adventures of Huck Finn,1993
35,Adventures of Huckleberry Finn,Mark Twain,1884,Tom and Huck,1995
36,The Adventures of Pinocchio,Carlo Collodi,1883,The Adventures of Pinocchio,1911
37,The Adventures of Pinocchio,Carlo Collodi,1883,The Adventures of Pinocchio,1936
38,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,1940
39,The Adventures of Pinocchio,Carlo Collodi,1883,The Adventures of Pinocchio,1947
40,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,1957
41,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio in Outer Space,1965
42,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,1967
43,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,1968
44,The Adventures of Pinocchio,Carlo Collodi,1883,The Adventures of Pinocchio,1972
45,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,1976
46,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio's Christmas,1980
47,The Adventures of Pinocchio,Carlo Collodi,1883,The Adventures of Pinocchio,1984
48,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio and the Emperor of the Night,1987
49,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,1993
50,The Adventures of Pinocchio,Carlo Collodi,1883,The Adventures of Pinocchio,1996
51,The Adventures of Pinocchio,Carlo Collodi,1883,The New Adventures of Pinocchio,1999
52,The Adventures of Pinocchio,Carlo Collodi,1883,"Pinocchio, ovvero lo spettacolo della Provvidenza",1999
53,The Adventures of Pinocchio,Carlo Collodi,1883,Geppetto,2000
54,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,2002
55,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio 3000,2004
56,The Adventures of Pinocchio,Carlo Collodi,1883,Welcome Back Pinocchio,2007
57,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,2008
58,The Adventures of Pinocchio,Carlo Collodi,1883,Pistachio – The Little Boy That Woodn't,2010
59,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,2012
60,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,2019
61,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio: A True Story,2022
62,The Adventures of Pinocchio,Carlo Collodi,1883,Pinocchio,2022
63,The Adventures of Pinocchio,Carlo Collodi,1883,Guillermo del Toro's Pinocchio,2022
64,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1891–1892,Sherlock Holmes,1916
65,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1891–1892,Sherlock Holmes,1922
66,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1891–1892,The Speckled Band,1931
67,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1891–1892,The Adventures of Sherlock Holmes,1939
68,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1891–1892,The House of Fear,1945
69,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1891–1892,The Blue Carbuncle,1980
70,The Adventures of Tom Sawyer,Mark Twain,1876,Tom Sawyer,1917
71,The Adventures of Tom Sawyer,Mark Twain,1876,Huck and Tom,1918
72,The Adventures of Tom Sawyer,Mark Twain,1876,Tom Sawyer,1930
73,The Adventures of Tom Sawyer,Mark Twain,1876,Tom Sawyer,1936
74,The Adventures of Tom Sawyer,Mark Twain,1876,The Adventures of Tom Sawyer,1938
75,The Adventures of Tom Sawyer,Mark Twain,1876,"Tom Sawyer, Detective",1938
76,The Adventures of Tom Sawyer,Mark Twain,1876,The Adventures of Mark Twain,1944
77,The Adventures of Tom Sawyer,Mark Twain,1876,Tom Sawyer,1973
78,The Adventures of Tom Sawyer,Mark Twain,1876,Tom Sawyer,1973
79,The Adventures of Tom Sawyer,Mark Twain,1876,Páni kluci,1976
80,The Adventures of Tom Sawyer,Mark Twain,1876,Rascals and Robbers: The Secret Adventures of Tom Sawyer and Huckleberry Finn,1982
81,The Adventures of Tom Sawyer,Mark Twain,1876,Tom Sawyer,1984
82,The Adventures of Tom Sawyer,Mark Twain,1876,The Adventures of Mark Twain,1986
83,The Adventures of Tom Sawyer,Mark Twain,1876,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,1990
84,The Adventures of Tom Sawyer,Mark Twain,1876,Tom and Huck,1995
85,The Adventures of Tom Sawyer,Mark Twain,1876,The Animated Adventures of Tom Sawyer,1998
86,The Adventures of Tom Sawyer,Mark Twain,1876,The Modern Adventures of Tom Sawyer,1998
87,The Adventures of Tom Sawyer,Mark Twain,1876,Tom Sawyer,2000
88,The Adventures of Tom Sawyer,Mark Twain,1876,Tom Sawyer & Huckleberry Finn,2014
89,The Adventures of Tom Sawyer,Mark Twain,1876,Band of Robbers,2015
90,Advise and Consent,Allen Drury,1959,Advise & Consent,1962
91,Aelita,Alexei Tolstoy,1923,Aelita,1924
92,The African Queen,C. S. Forester,1935,The African Queen,1951
93,After,Anna Todd,2017,After,2019
94,"After Dark, My Sweet",Jim Thompson,1955,"After Dark, My Sweet",1990
95,After Hours,Edwin Torres,1979,Carlito's Way,1993
96,After the Funeral,Agatha Christie,1953,Murder at the Gallop,1963
97,The Age of Innocence,Edith Wharton,1921,The Age of Innocence,1924
98,The Age of Innocence,Edith Wharton,1921,The Age of Innocence,1928
99,The Age of Innocence,Edith Wharton,1921,The Age of Innocence,1934
100,The Age of Innocence,Edith Wharton,1921,The Age of Innocence,1993
